Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Date,Origin,
"Alan","Moon",1.44,-10.93,-6.17,"Planetographic  +East  -180 - 180","Approved","1976","Irish male name.",
"Al-Bakri","Moon",12.21,14.34,20.25,"Planetographic  +East  -180 - 180","Approved","1976","Abū Ubayd Abdallāh Ibn abd al-Azīz Ibn Muhammad; Spanish-Arab geographer (1010-1094).",
"Albategnius","Moon",130.84,-11.24,4.01,"Planetographic  +East  -180 - 180","Approved","1935","Muhammed Ben Geber Al-Battānī; Arab astronomer, mathematician (c. 858-929).",
"Albert","Moon",0.1,38.32,-35.01,"Planetographic  +East  -180 - 180","Approved","Jun 14, 2012","Male name of German origin (Lunokhod-1 landing site feature).",
"Al-Biruni","Moon",80.41,18.07,92.62,"Planetographic  +East  -180 - 180","Approved","1970","Abū ar-Rayhān Muhammad ibn Ahmad al-Birūnī; Persian astronomer, mathematician, geographer (973-1048).",
"Alden","Moon",111.44,-23.51,111.11,"Planetographic  +East  -180 - 180","Approved","1970","Harold Lee; American astronomer (1890-1964).",
"Alder","Moon",82.12,-48.63,-177.88,"Planetographic  +East  -180 - 180","Approved","1979","Kurt; German organic chemist; Nobel laureate (1902-1958).",
"Aldrin","Moon",2.8,1.41,22.09,"Planetographic  +East  -180 - 180","Approved","1970","Edwin Eugene, Jr. (""Buzz""); American astronaut (1930-Live).",
"Alekhin","Moon",74.82,-67.94,-131.85,"Planetographic  +East  -180 - 180","Approved","1970","Nikolaj Pavlovich; Soviet rocket designer, engineer (1913-1964).",
"Alexander","Moon",94.8,40.25,13.69,"Planetographic  +East  -180 - 180","Approved","1935","Alexander the Great, of Macedon; Greek geographer (356-323 B.C.).",
"Alfraganus","Moon",20.52,-5.42,18.97,"Planetographic  +East  -180 - 180","Approved","1935","Al-Fargani, Abu'l-'Abbās Ahmad Ibn Muhammad Ibn Kathīr; Persian astronomer (unkn-c. 840).",
"Alhazen","Moon",34.65,15.91,71.83,"Planetographic  +East  -180 - 180","Approved","1935","Abū Ali Al-Hasan Ibn Al Haitham; Iraqi mathematician (987-1038).",
"Aliacensis","Moon",79.65,-30.6,5.13,"Planetographic  +East  -180 - 180","Approved","1935","D'Ailly, Pierre; French geographer (1350-1420).",
"Al-Khwarizmi","Moon",56.25,7.02,107.01,"Planetographic  +East  -180 - 180","Approved","1973","Abū Ja'far Muhammad Ibn Mūsā; Iraqi mathematician (unkn-after 847).",
"Almanon","Moon",47.76,-16.85,15.14,"Planetographic  +East  -180 - 180","Approved","1935","Abdalla Al Mamun; Persian astronomer (786-833).",
"Al-Marrakushi","Moon",8.57,-10.45,55.77,"Planetographic  +East  -180 - 180","Approved","1976","Abū `Ali al-Hasan Ibn `Ali al-Marrakushi; Moroccan astronomer, mathematician (fl. c. A.D. 1281/1282).",
"Aloha","Moon",2.55,29.79,-53.88,"Planetographic  +East  -180 - 180","Approved","1976","Hawaiian female first name.",
"Alpetragius","Moon",40.02,-16.05,-4.51,"Planetographic  +East  -180 - 180","Approved","1935","Al-Bitrūjī Al-Ishbīlī, Abū Ishāq; Spanish astronomer (unkn-c. 1100).",
"Alphonsus","Moon",110.54,-13.39,-2.85,"Planetographic  +East  -180 - 180","Approved","1935","Alfonso X (El Sabio); Spanish astronomer (1221-1284).",
"Alter","Moon",64.73,18.74,-107.8,"Planetographic  +East  -180 - 180","Approved","1970","Dinsmore; American astronomer, meteorologist (1888-1968).",
"Ameghino","Moon",9.2,3.3,57.04,"Planetographic  +East  -180 - 180","Approved","1976","Fiorino (or Florentino); Argentine paleontologist and anthropologist (1854-1911).",
"Amici","Moon",52.03,-10.06,-172.23,"Planetographic  +East  -180 - 180","Approved","1970","Giovanni Battista; Italian astronomer, optician (1786-1863).",
"Ammonius","Moon",8.55,-8.52,-0.83,"Planetographic  +East  -180 - 180","Approved","1976","Greek philosopher (unkn.-c. A.D. 517-526).",
"Amontons","Moon",2.47,-5.34,46.78,"Planetographic  +East  -180 - 180","Approved","1976","Guillaume; French physicist (1663-1705).",
"Amundsen","Moon",103.39,-84.44,83.07,"Planetographic  +East  -180 - 180","Approved","1964","Roald Engelbregt Gravning; Norwegian explorer (1872-1928).",
"Anaxagoras","Moon",51.9,73.48,-10.17,"Planetographic  +East  -180 - 180","Approved","1935","Greek astronomer (500-428 B.C.).",
